datetime,open,high,low,close,volume,dec,RD,GS,uptail,downtail,open1,high1,low1,close1,volume1,dec1,RD1,uptail1,downtail1,GS1,open2,high2,low2,close2,volume2,dec2,RD2,uptail2,downtail2,GS2
2021-08-06 10:00:00,2760.34,2769.81,2733.81,2760.27,163628.437,36,-0.07,0.000220010657,9.47,26.46,2779.27,2779.28,2760,2760.33,84639.638,19.28,-18.94,0.01,0.33,0.000227789254,2768.7,2784,2756.76,2779.27,105117.062,27.24,10.57,4.73,11.94,0.000259139663
2021-08-06 11:00:00,2760.36,2760.36,2732.77,2736.56,106630.101,27.59,-23.8,0.000258744949,0,3.79,2760.34,2769.81,2733.81,2760.27,163628.437,36,-0.07,9.47,26.46,0.000220010657,2779.27,2779.28,2760,2760.33,84639.638,19.28,-18.94,0.01,0.33,0.000227789254
2021-08-06 12:00:00,2736.57,2793.07,2720.31,2770.12,311278.473,72.76,33.55,0.000233745685,22.95,16.26,2760.36,2760.36,2732.77,2736.56,106630.101,27.59,-23.8,0,3.79,0.000258744949,2760.34,2769.81,2733.81,2760.27,163628.437,36,-0.07,9.47,26.46,0.000220010657
2021-08-06 13:00:00,2770.14,2788,2765.15,2776.99,109410.894,22.85,6.85,0.000208845748,11.01,4.99,2736.57,2793.07,2720.31,2770.12,311278.473,72.76,33.55,22.95,16.26,0.000233745685,2760.36,2760.36,2732.77,2736.56,106630.101,27.59,-23.8,0,3.79,0.000258744949
2021-08-06 14:00:00,2777,2788,2762.34,2777.37,95983.054,25.66,0.37,0.000267338858,10.63,14.66,2770.14,2788,2765.15,2776.99,109410.894,22.85,6.85,11.01,4.99,0.000208845748,2736.57,2793.07,2720.31,2770.12,311278.473,72.76,33.55,22.95,16.26,0.000233745685
2021-08-06 15:00:00,2777.36,2851.74,2768.33,2838.99,316014.607,83.41,61.63,0.000263943495,12.75,9.03,2777,2788,2762.34,2777.37,95983.054,25.66,0.37,10.63,14.66,0.000267338858,2770.14,2788,2765.15,2776.99,109410.894,22.85,6.85,11.01,4.99,0.000208845748
2021-08-06 16:00:00,2839.01,2885.48,2838.54,2861.7,421619.893,46.94,22.69,0.000111332508,23.78,0.47,2777.36,2851.74,2768.33,2838.99,316014.607,83.41,61.63,12.75,9.03,0.000263943495,2777,2788,2762.34,2777.37,95983.054,25.66,0.37,10.63,14.66,0.000267338858
2021-08-06 17:00:00,2861.7,2920,2861.24,2914,291354.986,58.76,52.3,0.000201678375,6,0.46,2839.01,2885.48,2838.54,2861.7,421619.893,46.94,22.69,23.78,0.47,0.000111332508,2777.36,2851.74,2768.33,2838.99,316014.607,83.41,61.63,12.75,9.03,0.000263943495
2021-08-06 18:00:00,2914.01,2935,2904,2918.59,205985.357,31,4.58,0.000150496135,16.41,10.01,2861.7,2920,2861.24,2914,291354.986,58.76,52.3,6,0.46,0.000201678375,2839.01,2885.48,2838.54,2861.7,421619.893,46.94,22.69,23.78,0.47,0.000111332508
2021-08-06 19:00:00,2918.6,2948.36,2913.53,2930.66,182740.306,34.83,12.06,0.000190598346,17.7,5.07,2914.01,2935,2904,2918.59,205985.357,31,4.58,16.41,10.01,0.000150496135,2861.7,2920,2861.24,2914,291354.986,58.76,52.3,6,0.46,0.000201678375
